Epoch 69, RMSE: 0.6381562951855397, R^2: 0.5928, MSE: 0.4072434570849337
Epoch 70, RMSE: 0.6374449354270431, R^2: 0.5937, MSE: 0.40633604570158705
Epoch 71, RMSE: 0.636754673367547, R^2: 0.5945, MSE: 0.4054565140554114
Epoch 72, RMSE: 0.636084727427056, R^2: 0.5954, MSE: 0.4046037804659522
Epoch 73, RMSE: 0.6354343480843083, R^2: 0.5962, MSE: 0.40377681072532995
Epoch 74, RMSE: 0.6348028164659316, R^2: 0.5970, MSE: 0.4029746157930793
Epoch 75, RMSE: 0.6341894430032065, R^2: 0.5978, MSE: 0.4021962496167173
Epoch 76, RMSE: 0.6335935661524142, R^2: 0.5986, MSE: 0.40144080706973373
Epoch 77, RMSE: 0.633014551175137, R^2: 0.5993, MSE: 0.4007074219994602
Epoch 78, RMSE: 0.6324517889752082, R^2: 0.6000, MSE: 0.3999952653779412
Epoch 79, RMSE: 0.6319046949892871, R^2: 0.6007, MSE: 0.39930354354950404
Epoch 80, RMSE: 0.6313727081282745, R^2: 0.6014, MSE: 0.39863149656923136
Epoch 81, RMSE: 0.6308552897669839, R^2: 0.6020, MSE: 0.39797839662698525
Epoch 82, RMSE: 0.6303519227796708, R^2: 0.6027, MSE: 0.397343546552028
Epoch 83, RMSE: 0.6298621106191722, R^2: 0.6033, MSE: 0.3967262783936383
Epoch 84, RMSE: 0.6293853764375505, R^2: 0.6039, MSE: 0.39612595207343726
Epoch 85, RMSE: 0.6289212622462621, R^2: 0.6045, MSE: 0.3955419541054316
Epoch 86, RMSE: 0.6284693281139784, R^2: 0.6050, MSE: 0.39497369638003543
Epoch 87, RMSE: 0.6280291514002965, R^2: 0.6056, MSE: 0.39442061500857656
Epoch 88, RMSE: 0.6276003260236617, R^2: 0.6061, MSE: 0.3938821692250064
Epoch 89, RMSE: 0.6271824617619176, R^2: 0.6066, MSE: 0.3933578403417392
Epoch 90, RMSE: 0.6267751835839738, R^2: 0.6072, MSE: 0.392847130756724
Epoch 91, RMSE: 0.62637813101116, R^2: 0.6077, MSE: 0.392349563009034
Epoch 92, RMSE: 0.625990957506902, R^2: 0.6081, MSE: 0.391864678880408
Epoch 93, RMSE: 0.6256133298934197, R^2: 0.6086, MSE: 0.3913920385403328
Epoch 94, RMSE: 0.6252449277942138, R^2: 0.6091, MSE: 0.3909312197323917
Epoch 95, RMSE: 0.6248854431011603, R^2: 0.6095, MSE: 0.3904818169997335
Epoch 96, RMSE: 0.624534579465089, R^2: 0.6100, MSE: 0.39004344094763554
Epoch 97, RMSE: 0.6241920518087771, R^2: 0.6104, MSE: 0.3896157175412511
Epoch 98, RMSE: 0.6238575858613341, R^2: 0.6108, MSE: 0.38919828743673185
Epoch 99, RMSE: 0.6235309177130052, R^2: 0.6112, MSE: 0.38879080534402244
Epoch 100, RMSE: 0.6232117933894629, R^2: 0.6116, MSE: 0.3883929394197106
Epoch 101, RMSE: 0.6228999684447011, R^2: 0.6120, MSE: 0.38800437068840965
Epoch 102, RMSE: 0.6225952075716856, R^2: 0.6124, MSE: 0.3876247924912303
Epoch 103, RMSE: 0.622297284229954, R^2: 0.6127, MSE: 0.38725390995997616
Epoch 104, RMSE: 0.6220059802893964, R^2: 0.6131, MSE: 0.386891439515773
Epoch 105, RMSE: 0.6217210856894818, R^2: 0.6135, MSE: 0.386537108390908
Epoch 106, RMSE: 0.6214423981132302, R^2: 0.6138, MSE: 0.38619065417272247
Epoch 107, RMSE: 0.621169722675263, R^2: 0.6141, MSE: 0.38585182436846316
Epoch 108, RMSE: 0.6209028716232939, R^2: 0.6145, MSE: 0.3855203759900527
Epoch 109, RMSE: 0.6206416640524531, R^2: 0.6148, MSE: 0.3851960751577981
Epoch 110, RMSE: 0.6203859256318638, R^2: 0.6151, MSE: 0.3848786967221044
Epoch 111, RMSE: 0.6201354883429208, R^2: 0.6154, MSE: 0.3845680239023128
Epoch 112, RMSE: 0.6198901902287418, R^2: 0.6157, MSE: 0.3842638479418257
Epoch 113, RMSE: 0.6196498751542884, R^2: 0.6160, MSE: 0.3839659677787251
Epoch 114, RMSE: 0.6194143925766787, R^2: 0.6163, MSE: 0.38367418973113593
Epoch 115, RMSE: 0.6191835973252341, R^2: 0.6166, MSE: 0.38338832719661764
Epoch 116, RMSE: 0.6189573493908215, R^2: 0.6169, MSE: 0.3831082003649114
Epoch 117, RMSE: 0.6187355137240785, R^2: 0.6172, MSE: 0.38283363594339936
Epoch 118, RMSE: 0.6185179600421236, R^2: 0.6174, MSE: 0.38256446689467
Epoch 119, RMSE: 0.6183045626433707, R^2: 0.6177, MSE: 0.38230053218561
Epoch 120, RMSE: 0.6180952002300916, R^2: 0.6180, MSE: 0.382041676547477
